Example	Perfect	Aspect	Transitivity	Lex_group	Location	Gender
kad sam jA vlAčila Oni su bIli žIvi 	AUX	not_perf	intrans	modal		
ali tO je dOsta odAvno bIlo a žIvka je bIla Udata znAm da smo jEdnom 	AUX	not_perf	intrans	modal		
na prijateljIcu a jA sam bIla u blizInu i razUmela sam 	AUX	not_perf	intrans	modal		
dObro jA nIsam bAš bIla detE ali 	AUX	not_perf	intrans	modal		
tA tO je bIla kAzna 	AUX	not_perf	intrans	modal		
el kao derIšte je bIlo po igrAnku dremAlo i kad je tAmo po ovcE zaspAlo 	AUX	not_perf	intrans	modal		
i tOj kad sam jA bIla đAk 	AUX	not_perf	intrans	modal		
((?)) pa pa čUla sam i čUla sam da mu nEšto nIje bIlo dObro 	AUX	not_perf	intrans	modal		
a štA mu je bIlo tO bAš nE znam 	AUX	not_perf	intrans	modal		
a pa kad sam jA dOšla znAš tU je bIla mOtka sa grOžđe 	AUX	not_perf	intrans	modal		
u pa nosIla sam vElika sam bIla gOre je bIlo kad smo mI 	AUX	not_perf	intrans	modal		
kUpili gUmeni opAnci pa sam bIla po Ovce 	AUX	not_perf	intrans	modal		
od onO odu vrućInu bOlje je bIlo u svInjski Opanak 	AUX	not_perf	intrans	modal		
jEl ti se desIlo ne/ nEšto • nEobično na nEbo • kad si bIla u padInu 	AUX	not_perf	intrans	modal		
bAš bIla sam Ej 	AUX	not_perf	intrans	modal		
jA sam bIla pa sam se vratIla pitalA sam nEmačkog soldAta •• da otvOri na lAgeru vrAta 	AUX	not_perf	intrans	modal		
kad bUde pItanje jA s/ jA i lepOsava smo sedEle onA bIla mnOgo pIsmena onA bOlje/ pOpismena bilA od mEne 	AUX	not_perf	intrans	modal		
sAmo bIla je ovdE i mOja etRva 	AUX	not_perf	intrans	modal		
pa zAjedno smo bIli u ednU brigAdu zAjedno smo radEli 	AUX	not_perf	intrans	modal		
i • njegOvi vršnjAci kojI su bIli na dvE gOdine regi/ regrUtovani Oni se puštIli jEseni 	AUX	not_perf	intrans	modal		
a səs tAj što je bIla kod mEne onA Udata 	AUX	not_perf	intrans	modal		
to je bIlo pedEset četvRte ((?)) gOdine 	AUX	not_perf	intrans	modal		
pa • osamnAjes gOdine mojI si bIli onAM sAmi 	AUX	not_perf	intrans	modal		
što mElje • prOsto • za stOku • bIlo e ljUdi ali • prOsto 	AUX	not_perf	intrans	modal		
i ((?)) šEs gOdine smo bIli u tOj rAdnu zAdrugu pOsle se rasturIlo 	AUX	not_perf	intrans	modal		
tO je takvO bilO svE svE lEpo bIlo odAvna 	AUX	not_perf	intrans	modal		
eu bIli ste u debElici 	AUX	not_perf	intrans	modal		
nEma nIšta •••• • bIlo si selO •• ljUdi imAlo a s/ ••• pOsle ednO se Istikrnu se •• Odseli i takO 	AUX	not_perf	intrans	modal		
dvOica smo bIli i brAta səm imAla pa • 	AUX	not_perf	intrans	modal		
sƏg de pOgješ svUd se vOziš ••• i takO e bIlo sInence nEdobro 	AUX	not_perf	intrans	modal		
Oni bIli • piroqAnci nEki kakvI li su nE znam ni jA 	AUX	not_perf	intrans	modal		
o pa bIli smo mlOgo 	AUX	not_perf	intrans	modal		
Eto •• čEtri učiOnice bilE pUne kOlko smo bIli Otkud ti ga znAm jA bAš svE 	AUX	not_perf	intrans	modal		
nesAm u kUqu rabotIla da pomAgam bIla si mi bAba i mAti jA sam si • oko stOke 	AUX	not_perf	intrans	modal		
ne prAjmo nEred nIkakav nesU bIli tOlko tƏg decA nemIrni kAko sƏg 	AUX	not_perf	intrans	modal		
Onde gde si je sƏg u knjAževac tuj bIlo si vašatIšte od 	AUX	not_perf	intrans	modal		
